ID,COMPETITIONID,NUMBER,DATETIME,TYPE,ISACTIVE
1,2,01,2019-03-21 12:00:00.0,P,N
2,2,02,2019-03-21 12:08:00.0,P,N
3,2,03,2019-03-21 12:16:00.0,P,N
4,2,04,2019-03-21 12:24:00.0,P,N
5,2,05,2019-03-21 12:32:00.0,P,N
6,2,06,2019-03-21 12:40:00.0,P,N
7,2,07,2019-03-21 12:48:00.0,P,N
8,2,08,2019-03-21 12:56:00.0,P,N
9,2,09,2019-03-21 13:04:00.0,P,N
10,2,10,2019-03-21 13:12:00.0,P,N
11,2,11,2019-03-21 13:20:00.0,P,N
12,2,12,2019-03-21 13:28:00.0,P,N
13,2,13,2019-03-21 13:36:00.0,P,N
14,2,14,2019-03-21 13:44:00.0,P,N
15,2,15,2019-03-21 13:52:00.0,P,N
16,2,16,2019-03-21 14:00:00.0,P,N
17,2,17,2019-03-21 14:08:00.0,P,N
18,2,18,2019-03-21 14:16:00.0,P,N
19,2,19,2019-03-21 14:24:00.0,P,N
20,2,20,2019-03-21 14:32:00.0,P,N
21,2,21,2019-03-21 14:40:00.0,P,N
22,2,22,2019-03-21 14:48:00.0,P,N
23,2,23,2019-03-21 14:56:00.0,P,N
24,2,24,2019-03-21 15:04:00.0,P,N
25,2,25,2019-03-21 15:12:00.0,P,N
26,2,26,2019-03-21 15:20:00.0,P,N
27,2,27,2019-03-21 15:28:00.0,P,N
28,2,28,2019-03-21 15:36:00.0,P,N
29,2,29,2019-03-21 15:44:00.0,P,N
30,2,30,2019-03-21 15:52:00.0,P,N
31,2,31,2019-03-21 16:00:00.0,P,N
32,2,32,2019-03-21 16:08:00.0,P,N
33,2,33,2019-03-21 16:16:00.0,P,N
34,2,34,2019-03-21 16:24:00.0,P,N
35,2,35,2019-03-21 16:32:00.0,P,N
36,2,36,2019-03-21 16:40:00.0,P,N
37,2,37,2019-03-21 16:48:00.0,P,N
38,2,38,2019-03-21 16:56:00.0,P,N
39,2,39,2019-03-21 17:04:00.0,P,N
40,2,40,2019-03-21 17:12:00.0,P,N
41,2,41,2019-03-21 17:20:00.0,P,N
42,2,42,2019-03-21 17:28:00.0,P,N
43,2,43,2019-03-21 17:36:00.0,P,N
44,2,44,2019-03-21 17:44:00.0,P,N
45,2,45,2019-03-21 17:52:00.0,P,N
46,2,46,2019-03-21 18:00:00.0,P,N
61,2,01,2019-03-22 09:00:00.0,Q,Y
62,2,02,2019-03-22 09:10:00.0,Q,Y
63,2,03,2019-03-22 09:20:00.0,Q,Y
64,2,04,2019-03-22 09:30:00.0,Q,Y
65,2,05,2019-03-22 09:40:00.0,Q,Y
66,2,06,2019-03-22 09:50:00.0,Q,Y
67,2,07,2019-03-22 10:00:00.0,Q,Y
68,2,08,2019-03-22 10:10:00.0,Q,Y
69,2,09,2019-03-22 10:19:00.0,Q,Y
70,2,10,2019-03-22 10:28:00.0,Q,Y
71,2,11,2019-03-22 10:37:00.0,Q,Y
