type,number,dateTime,r1,r2,r3,b1,b2,b3
PR,1,3/3/2022 12:00,,,,,,
PR,2,3/3/2022 12:10,,,,,,
PR,3,3/3/2022 12:20,,,,,,
PR,4,3/3/2022 12:30,,,,,,
PR,5,3/3/2022 12:40,,,,,,
PR,6,3/3/2022 12:50,,,,,,
PR,7,3/3/2022 13:00,,,,,,
PR,8,3/3/2022 13:10,,,,,,
PR,9,3/3/2022 13:20,,,,,,
PR,10,3/3/2022 13:30,,,,,,
PR,11,3/3/2022 13:40,,,,,,
PR,12,3/3/2022 13:50,,,,,,
PR,13,3/3/2022 14:00,,,,,,
PR,14,3/3/2022 14:10,,,,,,
PR,15,3/3/2022 14:20,,,,,,
PR,16,3/3/2022 14:30,,,,,,
PR,17,3/3/2022 14:40,,,,,,
PR,18,3/3/2022 14:50,,,,,,
PR,19,3/3/2022 15:00,,,,,,
PR,20,3/3/2022 15:10,,,,,,
PR,21,3/3/2022 15:20,,,,,,
PR,22,3/3/2022 15:30,,,,,,
PR,23,3/3/2022 15:40,,,,,,
PR,24,3/3/2022 15:50,,,,,,
PR,25,3/3/2022 16:00,,,,,,
PR,26,3/3/2022 16:10,,,,,,
PR,27,3/3/2022 16:20,,,,,,
PR,28,3/3/2022 16:30,,,,,,
PR,29,3/3/2022 16:40,,,,,,
PR,30,3/3/2022 16:50,,,,,,
PR,31,3/3/2022 17:00,,,,,,
PR,32,3/3/2022 17:10,,,,,,
PR,33,3/3/2022 17:20,,,,,,
PR,34,3/3/2022 17:30,,,,,,
PR,35,3/3/2022 17:40,,,,,,
PR,36,3/3/2022 17:50,,,,,,
